fixture_id,team_id,player_id,type,detail
1378969,35,18870,Card,Yellow Card
1378969,40,206254,Card,Yellow Card
1378969,35,152856,Card,Yellow Card
1378970,34,723,Card,Yellow Card
1378970,66,1904,Card,Yellow Card
1378970,66,19354,Card,Red Card
1378971,36,152967,Card,Yellow Card
1378971,51,106835,Card,Yellow Card
1378971,51,1361,Card,Yellow Card
1378971,51,278370,Card,Yellow Card
1378971,36,19025,Card,Yellow Card
1378971,36,195106,Card,Yellow Card
1378973,48,18744,Card,Yellow Card
1378975,50,36902,Card,Yellow Card
1378975,39,18742,Card,Yellow Card
1378975,50,307123,Card,Yellow Card
1378976,49,19545,Card,Yellow Card
1378976,52,13736,Card,Yellow Card
1378976,52,25927,Card,Yellow Card
1378976,52,18806,Card,Yellow Card
1378976,49,425733,Card,Yellow Card
1378972,55,19495,Card,Yellow Card
1378972,65,138780,Card,Yellow Card
1378972,55,44871,Card,Yellow Card
1378977,42,157052,Card,Yellow Card
1378977,33,382452,Card,Yellow Card
1378977,42,19465,Card,Yellow Card
1378977,42,313245,Card,Yellow Card
1378977,42,38746,Card,Yellow Card
1378978,45,284500,Card,Yellow Card
1378978,45,195993,Card,Yellow Card
1378988,49,341642,Card,Yellow Card
1378986,47,129711,Card,Yellow Card
1378986,47,30776,Card,Yellow Card
1378986,50,161933,Card,Yellow Card
1378986,47,2413,Card,Yellow Card
1378986,47,47519,Card,Yellow Card
1378980,39,41606,Card,Yellow Card
1378980,39,41606,Card,Red Card
1378980,35,1150,Card,Yellow Card
1378980,39,280687,Card,Yellow Card
1378980,35,304853,Card,Yellow Card
1378980,39,18742,Card,Yellow Card
1378980,39,195103,Card,Yellow Card
1378982,746,301771,Card,Yellow Card
1378981,55,281,Card,Yellow Card
1378981,66,162714,Card,Yellow Card
1378981,66,284457,Card,Yellow Card
1378979,63,19201,Card,Yellow Card
1378979,63,47969,Card,Yellow Card
1378984,51,162007,Card,Yellow Card
1378984,45,284500,Card,Yellow Card
1378984,51,92993,Card,Yellow Card
1378984,45,895,Card,Yellow Card
1378984,45,148099,Card,Yellow Card
1378984,45,125743,Card,Yellow Card
1378984,51,1361,Card,Yellow Card
1378983,52,20995,Card,Yellow Card
1378983,65,2919,Card,Yellow Card
1378983,52,182201,Card,Yellow Card
1378983,65,2771,Card,Yellow Card
1378983,52,18806,Card,Yellow Card
1378983,65,363695,Card,Yellow Card
1378985,33,747,Card,Yellow Card
1378985,36,2823,Card,Yellow Card
1378987,40,542,Card,Yellow Card
1378987,40,1145,Card,Yellow Card
1378987,34,18961,Card,Yellow Card
1378987,34,138787,Card,Red Card
1378987,34,10135,Card,Yellow Card
1378987,40,180317,Card,Yellow Card
1378991,49,116117,Card,Yellow Card
1378991,36,1455,Card,Yellow Card
1378991,36,2823,Card,Yellow Card
1378991,49,305834,Card,Yellow Card
1378994,33,1485,Card,Yellow Card
1378994,44,161621,Card,Yellow Card
1378994,44,196855,Card,Yellow Card
1378994,44,98936,Card,Yellow Card
1378994,44,20303,Card,Yellow Card
1378994,44,627,Card,Yellow Card
1378998,45,148099,Card,Yellow Card
1378997,35,19281,Card,Yellow Card
1378997,47,152849,Card,Yellow Card
1378997,47,19235,Card,Yellow Card
1378997,35,118307,Card,Yellow Card
1378997,35,1150,Card,Yellow Card
1378997,35,20093,Card,Yellow Card
1378996,746,22225,Card,Yellow Card
1378996,746,327631,Card,Yellow Card
1378996,55,196156,Card,Yellow Card
1378996,55,19346,Card,Yellow Card
1378996,746,1464,Card,Yellow Card
1378992,34,18911,Card,Yellow Card
1378992,63,162128,Card,Yellow Card
1378990,51,38695,Card,Yellow Card
1378990,50,360114,Card,Yellow Card
1378990,50,21138,Card,Yellow Card
1378990,51,537,Card,Yellow Card
1378993,40,542,Card,Yellow Card
1378993,42,18979,Card,Yellow Card
1378993,42,47315,Card,Yellow Card
1378993,40,8500,Card,Yellow Card
1378989,66,19298,Card,Yellow Card
1378989,66,36878,Card,Yellow Card
1378989,52,25927,Card,Yellow Card
1378989,52,18806,Card,Yellow Card
1378989,52,2218,Card,Yellow Card